op_nr,time
1910,702.89
1911,708.53
1912,698.04
1913,696.51
1914,759.00
1915,683.02
1916,693.14
1917,682.18
1918,680.27
1919,671.02
1920,731.01
1921,716.19
1922,709.45
1923,695.56
1924,728.30
1925,710.94
1926,705.53
1927,707.51
1928,686.64
1929,694.80
1930,714.26
1931,680.42
1932,675.40
1933,637.76
1934,643.89
1935,693.81
1936,698.30
1937,720.98
1938,796.34
1939,780.56
1940,645.35
1941,655.91
1942,620.41
1943,653.52
1944,656.61
1945,646.91
1946,705.54
1947,613.12
1948,723.94
1949,738.02
1950,686.83
1951,671.27
1952,658.75
1953,643.70
1954,806.42
1955,821.93
1956,728.35
1957,711.19
1958,753.40
1959,647.35
1960,659.73
1961,725.51
1962,700.08
1963,704.12
1964,805.75
1965,682.70
1966,697.35
1967,736.58
1968,708.26
1969,700.45
1970,696.08
1971,706.35
1972,632.02
1973,628.25
1974,629.28
1975,630.87
1976,637.69
1977,630.14
1978,641.13
1979,710.35
1980,733.43
1981,734.27
1982,706.10
1983,851.71
1984,719.00
1985,702.55
1986,829.24
1987,876.50
1988,721.96
1989,735.01
1990,761.02
1991,738.52
1992,662.97
1993,656.52
1994,668.32
1995,656.81
1996,669.72
1997,751.73
1998,723.16
1999,711.89
2000,751.11
2001,753.27
2002,735.96
2003,744.67
2004,712.03
2005,724.51
2006,753.56
2007,719.20
2008,700.38
2009,707.28
2010,726.38
2011,744.91
2012,711.34
2013,830.89
2014,746.10
2015,712.22
2016,862.11
2017,721.48
2018,724.37
2019,865.38
2020,718.96
2021,720.93
2022,707.61
2023,836.12
2024,752.13
2025,729.25
2026,734.24
2027,734.95
2028,844.86
2029,724.60
2030,730.78
2031,839.34
2032,779.25
2033,739.91
2034,755.61
2035,734.10
2036,687.75
2037,701.08
2038,777.62
2039,781.39
2040,755.25
2041,728.10
2042,760.68
2043,762.95
2044,775.96
2045,762.72
2046,773.04
2047,772.37
2048,759.05
2049,736.58
2050,741.74
2051,756.14
2052,769.17
2053,755.47
2054,784.85
2055,736.78
2056,758.01
2057,850.22
2058,735.92
2059,761.61
2060,732.92
2061,733.11
2062,864.13
2063,886.25
2064,738.66
2065,787.33
2066,761.60
2067,736.47
2068,733.58
2069,752.81
2070,742.77
2071,730.40
2072,747.20
2073,724.65
2074,732.47
2075,747.15
2076,784.25
2077,791.25
2078,744.01
2079,738.22
2080,750.48
2081,797.40
2082,746.81
2083,753.94
2084,745.38
2085,741.49
2086,750.78
2087,668.72
2088,767.31
2089,687.67
2090,715.28
2091,800.37
2092,746.11
2093,896.96
2094,749.47
2095,779.61
2096,801.43
2097,906.58
2098,754.30
2099,746.12
2100,758.11
2101,766.55
2102,807.65
2103,788.22
2104,805.41
2105,757.88
2106,747.45
2107,868.33
2108,763.00
2109,869.48
2110,666.89
2111,715.86
2112,738.60
2113,722.28
2114,730.54
2115,718.53
2116,738.60
2117,697.01
2118,708.33
2119,716.18
2120,683.03
2121,717.45
2122,687.47
2123,718.12
2124,724.66
2125,716.88
2126,704.70
2127,714.40
2128,720.83
2129,716.58
2130,689.16
2131,699.68
2132,736.12
2133,716.72
2134,742.49
2135,691.97
2136,737.25
2137,707.78
